Date,Close,High,Low,Open,Volume
2024-03-20,31.799999237060547,32.599998474121094,29.0,29.200000762939453,380
2024-03-21,31.0,31.600000381469727,30.0,30.600000381469727,1325
2024-03-22,30.600000381469727,33.400001525878906,30.600000381469727,31.600000381469727,685
2024-03-25,31.799999237060547,36.0,31.0,36.0,1395
2024-03-26,31.799999237060547,32.599998474121094,28.0,32.599998474121094,155
2024-03-27,31.600000381469727,32.20000076293945,29.600000381469727,31.799999237060547,805
2024-03-28,30.799999237060547,32.400001525878906,30.200000762939453,32.0,275
2024-04-01,33.0,34.20000076293945,30.600000381469727,30.600000381469727,850
2024-04-02,35.400001525878906,36.599998474121094,32.79999923706055,33.20000076293945,1335
2024-04-03,33.0,35.0,33.0,34.599998474121094,325
2024-04-04,41.79999923706055,42.79999923706055,31.600000381469727,33.20000076293945,7935
2024-04-05,40.0,45.599998474121094,38.400001525878906,45.599998474121094,5870
2024-04-08,39.0,45.0,38.0,40.0,4490
2024-04-09,39.20000076293945,45.20000076293945,37.0,45.20000076293945,2285
2024-04-10,36.0,41.599998474121094,36.0,41.0,3280
2024-04-11,40.0,42.0,32.599998474121094,36.400001525878906,33375
2024-04-12,36.20000076293945,38.79999923706055,34.20000076293945,37.599998474121094,4120
2024-04-15,38.0,38.79999923706055,34.0,38.20000076293945,6240
2024-04-16,39.79999923706055,42.599998474121094,36.599998474121094,36.599998474121094,1910
2024-04-17,39.0,42.400001525878906,37.20000076293945,39.20000076293945,2115
2024-04-18,37.400001525878906,42.20000076293945,36.599998474121094,38.400001525878906,14065
2024-04-19,33.0,40.20000076293945,32.0,38.599998474121094,7130
2024-04-22,30.0,32.20000076293945,28.200000762939453,31.0,2935
2024-04-23,33.400001525878906,34.599998474121094,29.399999618530273,29.399999618530273,1725
2024-04-24,34.20000076293945,34.20000076293945,31.200000762939453,33.400001525878906,240
2024-04-25,32.20000076293945,33.599998474121094,31.600000381469727,33.20000076293945,345
2024-04-26,32.79999923706055,33.20000076293945,31.799999237060547,33.20000076293945,365
2024-04-29,32.599998474121094,33.599998474121094,30.399999618530273,31.799999237060547,495
2024-04-30,32.79999923706055,33.20000076293945,31.799999237060547,33.0,240
2024-05-01,32.599998474121094,33.599998474121094,31.0,32.599998474121094,455
2024-05-02,38.0,38.20000076293945,32.0,32.400001525878906,7505
2024-05-03,43.599998474121094,43.599998474121094,38.0,40.599998474121094,7260
2024-05-06,42.400001525878906,43.79999923706055,39.599998474121094,42.0,1605
2024-05-07,47.400001525878906,47.79999923706055,41.79999923706055,42.0,3115
2024-05-08,46.20000076293945,47.79999923706055,38.20000076293945,42.20000076293945,8350
2024-05-09,44.599998474121094,48.599998474121094,44.400001525878906,46.0,3280
2024-05-10,42.599998474121094,47.20000076293945,39.599998474121094,46.599998474121094,5340
2024-05-13,40.20000076293945,43.79999923706055,32.20000076293945,43.0,2875
2024-05-14,40.599998474121094,41.599998474121094,36.400001525878906,37.599998474121094,1125
2024-05-15,39.599998474121094,42.599998474121094,37.20000076293945,37.599998474121094,485
2024-05-16,42.599998474121094,42.79999923706055,39.0,40.599998474121094,415
2024-05-17,42.400001525878906,46.0,42.20000076293945,44.79999923706055,1065
2024-05-20,43.20000076293945,44.599998474121094,42.400001525878906,44.599998474121094,195
2024-05-21,40.79999923706055,43.0,40.400001525878906,42.0,310
2024-05-22,44.599998474121094,46.400001525878906,42.0,43.79999923706055,1000
2024-05-23,42.400001525878906,44.0,41.599998474121094,43.79999923706055,650
2024-05-24,44.400001525878906,45.20000076293945,42.20000076293945,42.20000076293945,890
2024-05-28,44.79999923706055,45.20000076293945,43.400001525878906,45.20000076293945,555
